# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
bie shuo 	別說	c=16 d=1 t=168548
bie shuo le 	別說了	c=1 d=1 t=58329
bie si 	憋死	c=1 d=1 t=126788
bie sui 	別歲	c=1 d=1 t=148943
bie teng 	別疼	c=1 d=1 t=133049
bie tui 	別退	c=1 d=1 t=105120
bie wan 	別玩	c=2 d=1 t=175840
bie wang 	別忘	c=1 d=1 t=108916
bie wang ji 	別忘記	c=1 d=1 t=97641
bie wen 	別問	c=0 d=0.1 t=25956
bie wen die 	別問爹	c=1 d=1 t=25957
bie wen tong 	別文同	c=1 d=1 t=96042
bie wo 	別我	c=2 d=1 t=122501
bie xia 	別下	c=1 d=1 t=11330
bie xiang 	別想	c=5 d=1 t=150542
bie xiang zhe 	別想着	c=1 d=1 t=77230
bie xiao 	憋笑	c=1 d=1 t=88515
bie ya 	別呀	c=1 d=1 t=95743
bie yong 	別用	c=3 d=1 t=108441
bie zhe 	憋着	c=2 d=1 t=162600
bie zou 	別走	c=3 d=1 t=163880
bie zou a 	別走啊	c=1 d=1 t=140261
bing 	並	c=15 d=1 t=165796
bing 	冰	c=2 d=1.9802 t=98004
bing 	病	c=1 d=1 t=57768
bing 	餅	c=7 d=3.09776e-08 t=176129
bing bao 	冰雹	c=1 d=1 t=162213
bing bu neng 	並不能	c=1 d=1 t=175827
bing bu shi 	並不是	c=2 d=1 t=65460
bing bu tai 	並不太	c=1 d=1 t=66742
bing cheng 	冰成	c=1 d=1 t=137217
bing du 	病毒	c=1 d=1 t=123303
bing du xing 	病毒型	c=1 d=1 t=147457
bing gan 	餅乾	c=3 d=1 t=174471
bing jun 	病菌	c=1 d=1 t=166903
bing lai jiang dang 	兵來將擋	c=1 d=1 t=135727
bing li 	病歷	c=2 d=1.96561 t=157854
bing liang 	冰涼	c=0 d=0.1 t=14057
bing liang tie 	冰涼貼	c=1 d=1 t=14058
bing mei you 	並沒有	c=1 d=1 t=71776
bing qi 	冰汽	c=1 d=1 t=20143
bing qie 	並且	c=1 d=1 t=60694
bing tu 	餅圖	c=3 d=1.8781 t=89093
bing xiang 	冰箱	c=14 d=0.324652 t=176129
bing yu 	並與	c=3 d=1 t=91707
bing zhen 	冰鎮	c=1 d=1 t=8982
bo 	剝	c=3 d=1 t=142203
bo 	博	c=2 d=1 t=80649
bo 	波	c=1 d=1 t=170514
bo 	薄	c=5 d=1.92312 t=140873
bo cai 	菠菜	c=1 d=1 t=10681
bo fang 	播放	c=1 d=1 t=89407
bo hao 	剝好	c=2 d=1 t=129855
bo hui 	駁回	c=23 d=1 t=140623
bo hui ren 	駁回人	c=2 d=1.00183 t=130786
bo ke 	博客	c=3 d=1.18637 t=84982
bo li 	玻璃	c=2 d=1 t=77482
bo luo 	菠蘿	c=1 d=1 t=151005
bo yan 	博嚴	c=1 d=1 t=7050
bo yi 	博一	c=1 d=1 t=22415
bo zi 	脖子	c=3 d=1 t=126864
bu 	不	c=666 d=1.21195 t=176129
bu 	步	c=5 d=1 t=165914
bu 	補	c=16 d=1 t=156757
bu 	部	c=1 d=0.1 t=145561
bu ai 	不愛	c=2 d=0.00105946 t=176129
bu ai chi 	不愛喫	c=2 d=1 t=112231
bu an 	不安	c=1 d=1 t=132860
bu an 	不按	c=3 d=1 t=105509
bu an jing 	不安靜	c=1 d=1 t=87413
bu ba 	不把	c=3 d=1 t=81523
bu ba ren 	不把人	c=2 d=1 t=57731
bu ban 	補辦	c=1 d=1 t=20206
bu bang ta 	不幫他	c=1 d=1 t=111017
bu bao cuo 	不報錯	c=2 d=1.98511 t=153061
bu bao xiao 	不報銷	c=2 d=1 t=150485
bu bao zheng 	不保證	c=1 d=1 t=33877
bu bei 	不被	c=1 d=1 t=144563
bu bian 	不變	c=3 d=1 t=115119
bu bian yi 	不編譯	c=1 d=1 t=16396
bu bu 	不不	c=2 d=1 t=123497
bu bu 	補補	c=1 d=1 t=106272
bu bu bu 	不不不	c=5 d=1 t=159004
bu bu bu 	補補補	c=2 d=1 t=123713
bu cai 	不裁	c=1 d=1 t=73005
bu ce 	不測	c=1 d=1 t=68800
bu ce shi 	不測試	c=1 d=1 t=144351
bu cha 	不差	c=5 d=1.76721 t=164988
bu cha 	不查	c=1 d=0.2334 t=176129
bu cha qian 	不差錢	c=1 d=1 t=12477
bu cha xian 	不插線	c=1 d=1 t=5755
bu chang 	不長	c=1 d=1 t=52084
bu chang 	補償	c=5 d=1.99501 t=140808
bu chao 	不吵	c=0 d=0.1 t=158676
bu cheng 	不成	c=2 d=0.100061 t=30192
bu cheng gong 	不成功	c=1 d=1 t=11436
bu chi 	不喫	c=19 d=3.0291e-09 t=176129
bu chi 	不遲	c=1 d=1 t=52541
bu chi de 	不喫的	c=1 d=1 t=26505
bu chi fan 	不喫飯	c=1 d=1 t=8198
bu chi la 	不喫啦	c=1 d=1 t=166691
bu chong 	不充	c=1 d=1 t=7310
bu chong 	補充	c=3 d=3.30637e-10 t=176129
bu chong fu 	不重複	c=1 d=1 t=106440
bu chong ma tong 	不衝馬桶	c=1 d=1.42323e-05 t=176129
bu chong tu 	不衝突	c=1 d=1 t=151130
bu chu 	不出	c=2 d=0.1 t=170232
bu chu chai 	不出差	c=2 d=1.00001 t=172638
bu chu lai 	不出來	c=9 d=1 t=174971
bu chuan 	不傳	c=4 d=1 t=80145
bu chuan 	不穿	c=1 d=1 t=141046
bu cui 	不催	c=1 d=0.1 t=129650
bu cui yi cui 	不催一催	c=1 d=1 t=129651
bu cun 	不存	c=6 d=1.71534 t=61009
bu cun zai 	不存在	c=10 d=1.89583 t=165047
bu cuo 	不錯	c=90 d=0.0215076 t=176129
bu cuo bu cuo 	不錯不錯	c=34 d=1.0145 t=175488
bu da 	不大	c=18 d=1 t=173960
bu da 	不打	c=2 d=1 t=123309
bu da rao 	不打擾	c=1 d=1 t=175100
bu da suan 	不打算	c=3 d=1 t=122180
bu dai 	不帶	c=5 d=1 t=90170
bu dai biao 	不代表	c=1 d=1 t=21187
bu dai wo 	不帶我	c=1 d=1 t=18319
bu dang 	不當	c=1 d=1 t=117991
bu dang ren 	不當人	c=1 d=1 t=85075
bu dao 	不到	c=38 d=1 t=175338
bu de 	不得	c=8 d=1 t=152227
bu deng 	不等	c=2 d=0.1 t=174090
bu deng la 	不等啦	c=1 d=1 t=174091
bu deng ren 	不等人	c=1 d=1 t=36905
bu deng wo 	不等我	c=1 d=1 t=36440
bu deng yu 	不等於	c=7 d=1.00008 t=165541
bu di 	不低	c=1 d=1 t=164236
bu dian 	不點	c=5 d=2.79526e-05 t=176129
bu diao 	不掉	c=0 d=0.1 t=117832
bu diao pan 	不掉盤	c=1 d=1 t=31018
bu diao yong 	不調用	c=1 d=1 t=7907
bu ding e 	不頂餓	c=2 d=1 t=154183
bu dong 	不動	c=12 d=0.1 t=165241
bu dong 	不懂	c=16 d=6.64215e-11 t=176129
bu dou 	不都	c=16 d=0.802519 t=176129
bu dou shi 	不都是	c=20 d=0.905707 t=176129
bu dou zai 	不都再	c=1 d=1 t=11034
bu dou zai 	不都在	c=1 d=1 t=65803
bu du 	不堵	c=3 d=1 t=134509
bu du che 	不堵車	c=4 d=1 t=141076
bu duan 	不斷	c=6 d=5.56451e-05 t=176129
bu dui 	不對	c=42 d=1.07692 t=173695
bu dui jin 	不對勁	c=4 d=1.39653 t=82641
bu dui ta 	不對她	c=1 d=1 t=45631
bu duo 	不多	c=40 d=0.384878 t=176129
bu duo ya 	不多呀	c=1 d=1 t=51360
bu e 	不餓	c=11 d=1 t=165173
bu er 	布爾	c=1 d=1 t=173654
bu er nuo 	布爾諾	c=0 d=9.98267e-11 t=176129
bu er nuo na ge 	布爾諾那個	c=11 d=1.39166e-08 t=176129
bu fa 	不發	c=17 d=1 t=172581
bu fa 	補發	c=1 d=1 t=142149
bu fa bu 	不發佈	c=1 d=1 t=89904
bu fa cai 	不發財	c=1 d=1 t=83818
bu fa song 	不發送	c=1 d=1 t=169563
bu fan 	不犯	c=0 d=0.1 t=24122
bu fan cuo 	不犯錯	c=1 d=1 t=24123
bu fan hui 	不返回	c=1 d=1 t=87307
bu fan wei 	不範圍	c=1 d=1 t=161041
bu fang 	不放	c=3 d=1 t=175612
bu fang bian 	不方便	c=11 d=1 t=124458
bu fang xin 	不放心	c=1 d=1 t=122310
bu fen 	部分	c=9 d=2.65893e-05 t=176129
bu fen ye 	不分頁	c=1 d=1 t=162800
bu fu 	不服	c=1 d=1 t=27403
bu fu fen 	不賦分	c=1 d=1 t=65291
bu fu za 	不複雜	c=2 d=1 t=119485
bu fu ze 	不負責	c=1 d=1 t=111211
bu fu ze ren 	不負責任	c=1 d=1 t=111213
bu gai 	不改	c=11 d=0.0612626 t=176129
bu gai 	不該	c=2 d=1 t=50082
bu gai xia 	不改下	c=1 d=1 t=78755
bu gan 	不幹	c=11 d=1.72979 t=175872
bu gan 	不敢	c=36 d=4.70331e-09 t=176129
bu gan chi 	不敢喫	c=1 d=1 t=16818
bu gan dian 	不敢點	c=1 d=1 t=93221
bu gan huo er 	不幹活兒	c=1 d=1 t=168848
bu gan jing 	不乾淨	c=3 d=0.1 t=102315
bu gan sha 	不幹啥	c=1 d=1 t=30175
bu gan zhe 	不幹這	c=1 d=1 t=22904
bu gan zou 	不敢走	c=1 d=1 t=168569
bu gao 	不搞	c=3 d=1 t=146820
bu gao 	不高	c=6 d=0.1 t=146892
bu gao su 	不告訴	c=1 d=1 t=114491
bu gao su ni 	不告訴你	c=1 d=1 t=116477
bu gei 	不給	c=8 d=1 t=168024
bu gei li 	不給力	c=6 d=1 t=52471
bu gei ni 	不給你	c=7 d=1.19889 t=129254
bu gei qian 	不給錢	c=1 d=1 t=64625
bu gei wo 	不給我	c=1 d=1 t=113207
bu gen 	不跟	c=8 d=1 t=172774
bu gen ju 	不根據	c=1 d=1 t=15213
bu gen ni 	不跟你	c=1 d=1 t=32216
bu gong zuo 	不工作	c=1 d=1 t=121187
bu gou 	不夠	c=22 d=1 t=166378
bu gou ben 	不夠本	c=1 d=1 t=145961
bu gou chi 	不夠喫	c=1 d=1 t=63122
bu gou shi 	不夠是	c=1 d=1 t=27785
bu gu ding 	不固定	c=4 d=1 t=57550
bu gua 	不掛	c=1 d=1 t=129248
bu guai 	不怪	c=1 d=1 t=142663
bu guan 	不管	c=43 d=1.45522 t=176129
bu guan 	不關	c=2 d=3.23308e-11 t=176129
bu guan ni 	不管你	c=1 d=1 t=144319
bu guan xin 	不關心	c=2 d=1 t=129279
bu gui 	不貴	c=8 d=1 t=175220
bu gui ding 	不規定	c=1 d=1 t=126266
bu gui fan 	不規範	c=2 d=1 t=46171
bu guo 	不過	c=60 d=0.00272578 t=176129
bu guo qu 	不過去	c=0 d=0.1 t=26996
bu guo shi 	不過是	c=2 d=0.00568457 t=176129
bu guo wen 	不過問	c=2 d=1 t=59039
bu guo xian zai 	不過現在	c=1 d=1 t=53026
bu hai shi 	不還是	c=3 d=1 t=133334
bu han ren 	不喊人	c=1 d=1 t=120887
bu hao 	不好	c=56 d=0.00231117 t=176129
bu hao chi 	不好喫	c=6 d=1 t=170477
bu hao chu li 	不好處理	c=1 d=1 t=104633
bu hao gai 	不好改	c=1 d=1 t=163383
bu hao hao 	不好好	c=1 d=1 t=22552
bu hao he 	不好和	c=1 d=1 t=155128
bu hao kan 	不好看	c=3 d=1 t=159753
bu hao nong 	不好弄	c=1 d=1 t=68825
bu hao wan 	不好玩	c=1 d=1 t=126070
bu hao yi si 	不好意思	c=5 d=1 t=148530
bu hao yong 	不好用	c=3 d=1 t=145990
bu hao zhao 	不好找	c=1 d=1 t=158384
bu hao zheng 	不好掙	c=1 d=1 t=92255
bu hao zuo 	不好做	c=2 d=0.000340532 t=176129
bu he 	不喝	c=12 d=1 t=173609
bu he fa 	不合法	c=1 d=1 t=62074
bu he li 	不合理	c=3 d=1 t=74227
bu he liu 	不合溜	c=1 d=1 t=46456
bu he zuo 	不合作	c=1 d=1 t=131463
bu hen 	不很	c=1 d=1 t=43467
bu hu 	不糊	c=1 d=1 t=153313
bu hua 	不花	c=3 d=1 t=96472
bu hua qian 	不花錢	c=1 d=1 t=146886
bu huan 	不換	c=7 d=0.1 t=163991
bu huan 	不還	c=3 d=1.75578 t=69591
bu huang 	不慌	c=2 d=6.15907e-05 t=176129
bu hui 	不回	c=8 d=1 t=170213
bu hui 	不會	c=167 d=0.0667827 t=176129
bu hui a 	不會啊	c=1 d=1 t=137894
bu hui ba 	不會吧	c=22 d=0.211484 t=176129
bu hui bu hui 	不會不會	c=1 d=1 t=112732
bu hui da 	不會打	c=1 d=2.1287e-06 t=176129
bu hui de 	不會的	c=4 d=1 t=138646
bu hui dui 	不會懟	c=1 d=1 t=117724
bu hui jian 	不會建	c=1 d=1 t=156239
bu hui lai 	不回來	c=1 d=1 t=123446
bu hui lai 	補回來	c=1 d=1 t=20057
bu hui ni 	不會呢	c=2 d=1.99501 t=114928
bu hui qu 	不回去	c=14 d=1.94649 t=173178
bu hui qu ma 	不回去嘛	c=1 d=1 t=169033
bu hui shi 	不會是	c=12 d=1.00001 t=159574
bu hui shi you 	不會是有	c=1 d=1 t=120431
bu hui suan 	不會算	c=1 d=1 t=162829
bu hui ya 	不會呀	c=1 d=1 t=45023
bu hui yong 	不會用	c=1 d=1 t=98887
bu huo 	補貨	c=1 d=1 t=138401
bu ji 	不急	c=14 d=4.89525e-09 t=176129
bu ji jue 	不幾角	c=1 d=1 t=89966
bu ji shi 	不及時	c=2 d=1 t=129289
bu ji yong 	不急用	c=1 d=1 t=63561
bu ji zhe 	不急着	c=2 d=1 t=152594
bu jia 	不加	c=25 d=7.81348e-10 t=176129
bu jia ban 	不加班	c=46 d=0.871168 t=176129
bu jia bang wo 	不加幫我	c=1 d=1 t=161481
bu jia bu jia 	不加不加	c=1 d=1 t=168099
bu jia rong 	不加絨	c=1 d=1 t=119724
bu jian dan 	不簡單	c=2 d=1 t=60737
bu jian du 	不監督	c=1 d=1 t=123974
bu jie 	不借	c=1 d=1 t=108858
bu jie hun 	不結婚	c=1 d=0.163654 t=176129
bu jie qian 	不借錢	c=1 d=1 t=42043
bu jie shu 	不結束	c=1 d=1 t=170220
bu jie yi 	不介意	c=1 d=1 t=64405
bu jin bu man 	不緊不慢	c=1 d=1 t=163425
bu jin qu 	不進去	c=2 d=1 t=108373
bu jin ru 	不進入	c=1 d=1 t=66191
bu jing guo 	不經過	c=1 d=1 t=107078
bu jiu 	不就	c=35 d=2.05052e-07 t=176129
bu jiu shi 	不就是	c=23 d=1.00039 t=176118
bu ju 	佈局	c=1 d=1 t=140073
bu ju bei 	不具備	c=1 d=1 t=58757
bu jue de 	不覺得	c=2 d=2.07113e-07 t=176129
bu ka 	不卡	c=2 d=1 t=141633
bu ka 	補卡	c=6 d=1 t=137696
bu kai 	不開	c=8 d=1 t=170464
bu kai che 	不開車	c=1 d=1 t=21170
bu kai fa 	不開發	c=1 d=1 t=174986
bu kai xin 	不開心	c=3 d=1.77375e-07 t=176129
bu kan 	不看	c=13 d=1 t=175053
bu kang feng 	不抗風	c=1 d=1 t=72139
bu kao lv 	不考慮	c=1 d=1 t=9548
bu ke 	不可	c=1 d=1 t=26034
bu ke 	補課	c=1 d=1 t=26033
bu ke jian 	不可見	c=1 d=1 t=45295
bu ke neng 	不可能	c=18 d=1.02472 t=169184
bu ke yi 	不可以	c=2 d=1 t=51546
bu ke yong 	不可用	c=1 d=0.10435 t=176129
bu ke yong 	🚫	c=1 d=0.10383 t=176129
bu kou 	不扣	c=1 d=1 t=137469
bu kou shui 	不扣稅	c=1 d=4.64449e-08 t=176129
bu kuai 	不快	c=2 d=1 t=159566
bu kuai 	捕快	c=0 d=0.1 t=47248
bu kuai ya 	不快呀	c=1 d=1 t=65807
bu kui 	不虧	c=2 d=1 t=169241
bu kui shi 	不愧是	c=3 d=0.1 t=105007
bu kui shi ni 	不愧是你	c=1 d=1 t=105008
bu kun 	不困	c=7 d=1.56836 t=97932
bu la 	不拉	c=1 d=1 t=113540
bu la 	不辣	c=3 d=1 t=151552
bu lai 	不來	c=15 d=9.37396e-05 t=176129
bu lai ge 	不來個	c=1 d=1 t=51462
bu le 	不了	c=8 d=1 t=161259
bu lei 	不累	c=2 d=1 t=124932
bu leng 	不冷	c=11 d=0.1 t=169368
bu leng ba 	不冷吧	c=1 d=1 t=169369
bu li mao 	不禮貌	c=1 d=1 t=17593
bu li ni 	不理你	c=2 d=1 t=108002
bu li wo 	不理我	c=3 d=1.02336e-07 t=176129
bu liu 	不流	c=1 d=1 t=79374
bu luo fen 	布洛芬	c=3 d=1.23788 t=106680
bu luo wu 	不落屋	c=1 d=1 t=4919
bu ma fan 	不麻煩	c=4 d=1 t=146914
bu mai 	不買	c=9 d=0.172045 t=176129
bu mai 	不賣	c=2 d=0.1 t=130120
bu mang 	不忙	c=18 d=1 t=172042
bu mei 	不美	c=1 d=1 t=24723
bu men 	部門	c=30 d=1.36637 t=174132
bu mian fei 	不免費	c=1 d=1 t=17532
bu ming bai 	不明白	c=1 d=1 t=66102
bu ming que 	不明確	c=2 d=1 t=62993
bu ming xian 	不明顯	c=1 d=1 t=46505
bu na 	不拿	c=2 d=1.54607 t=73645
bu nai 	不耐	c=0 d=0.1 t=78478
bu nai shou 	不耐受	c=1 d=1 t=158666
bu nai yong 	不耐用	c=1 d=1 t=78479
bu nan 	不難	c=7 d=1.00638 t=163026
bu nan shou 	不難受	c=1 d=1 t=129367
bu nao 	不鬧	c=1 d=1 t=170132
bu neng 	不能	c=160 d=1.12598 t=176129
bu neng gai 	不能改	c=1 d=1 t=74991
bu neng yong 	不能用	c=1 d=1 t=38762
bu nong 	不弄	c=4 d=1 t=155177
bu pa 	不怕	c=11 d=1 t=164936
bu pa bu pa 	不怕不怕	c=1 d=1 t=86995
bu pai 	補拍	c=1 d=1 t=118795
bu pang 	不胖	c=1 d=1 t=33116
bu pei 	不配	c=4 d=0.1 t=59501
bu pei qian 	不賠錢	c=1 d=1 t=22858
bu peng 	不碰	c=1 d=1 t=57618
bu pi 	不批	c=1 d=1 t=56265
bu pian ni 	不騙你	c=1 d=1 t=172032
bu pian yi 	不便宜	c=2 d=1 t=71682
bu pin 	補品	c=1 d=1 t=28317
bu qi 	不起	c=2 d=0.1 t=169274
bu qi 	不騎	c=1 d=1 t=34089
bu qi 	不齊	c=2 d=1 t=134545
bu qi guai 	不奇怪	c=1 d=1 t=95918
bu qi lai 	不起來	c=5 d=0.1 t=172029
bu qiang 	不搶	c=1 d=0.00134683 t=176129
bu qing 	不清	c=0 d=0.1 t=162479
bu qing chu 	不清楚	c=56 d=0.07502 t=176129
bu qing ke 	不請客	c=1 d=1 t=75174
bu qing wo 	不請我	c=1 d=1 t=24337
bu qing xing 	不清醒	c=1 d=1 t=162480
bu qiu 	不求	c=1 d=1 t=146148
bu qiu xin 	不秋心	c=1 d=1 t=6121
bu qu 	不去	c=26 d=1 t=170222
bu qu 	不取	c=1 d=1 t=138309
bu qu fen 	不區分	c=1 d=1 t=67643
bu quan 	不全	c=2 d=1 t=158192
bu quan 	補全	c=5 d=1 t=158191
bu que ding 	不確定	c=7 d=1 t=173007
bu que shui 	不缺水	c=1 d=1 t=134923
bu ran 	不然	c=85 d=0.562761 t=176129
bu ran ni 	不然呢	c=1 d=1 t=22355
bu rang 	不讓	c=6 d=1 t=130891
bu rang mai 	不讓買	c=1 d=1 t=65646
bu rang wo 	不讓我	c=4 d=1 t=168292
bu re 	不熱	c=8 d=1 t=162087
bu ren 	不仁	c=1 d=1 t=69537
bu ren shi 	不認識	c=2 d=1 t=145301
bu rong yi 	不容易	c=3 d=1 t=84537
bu ru 	不如	c=5 d=0.00126512 t=176129
bu sha 	不傻	c=1 d=1 t=72598
bu shang 	不上	c=16 d=1.55726e-05 t=176129
bu shang 	補上	c=3 d=1 t=52516
bu shang ban 	不上班	c=7 d=2.29053e-06 t=176129
bu shang men 	不上門	c=1 d=1 t=98161
bu shang qu 	不上去	c=2 d=1 t=121542
bu shao 	不少	c=21 d=0.100002 t=150140
bu shao qian 	不少錢	c=1 d=0.1 t=82606
bu shao ren 	不少人	c=2 d=1 t=169205
bu she 	不設	c=0 d=0.1 t=10319
bu she ji 	不涉及	c=1 d=1 t=151324
bu she zhi 	不設置	c=1 d=1 t=10320
bu sheng ji 	不升級	c=1 d=1 t=47695
bu shi 	不是	c=665 d=1.82586 t=176129
bu shi a 	不是啊	c=1 d=1 t=63672
bu shi ba 	不是吧	c=25 d=0.463013 t=176129
bu shi bu 	不是不	c=0 d=0.1 t=45244
bu shi bu shi 	不是不是	c=2 d=1 t=118057
bu shi bu shi bu shi 	不是不是不是	c=1 d=1 t=45245
bu shi de 	不是的	c=2 d=1 t=138457
bu shi he 	不適合	c=4 d=1 t=158672
bu shi ke yi 	不是可以	c=1 d=1 t=128431
bu shi ni 	不是你	c=1 d=1 t=42027
bu shi shuo 	不是說	c=7 d=1 t=168889
bu shi wo 	不是我	c=1 d=1 t=68499
bu shi wo men 	不是我們	c=1 d=1 t=136653
bu shi ya 	不是呀	c=1 d=1 t=155388
bu shi yong 	不適用	c=2 d=1 t=67240
bu shi zhi xu 	不時之需	c=1 d=1 t=38238
bu shou fei 	不收費	c=1 d=1 t=6582
bu shu 	部屬	c=81 d=0.866164 t=176129
bu shu chu 	不輸出	c=1 d=1 t=119493
bu shu fu 	不舒服	c=13 d=1.74826 t=171933
bu shu xi 	不熟悉	c=9 d=1.23931 t=175469
bu shuai 	不帥	c=0 d=0.1 t=93643
bu shuang 	不爽	c=3 d=1 t=125024
bu shui 	不睡	c=4 d=1 t=163199
bu shui 	補稅	c=1 d=1 t=136552
bu shui jiao 	不睡覺	c=2 d=1 t=79369
bu shun shou 	不順手	c=1 d=1 t=35422
bu shuo 	不說	c=20 d=1 t=172084
bu shuo hua 	不說話	c=3 d=2.9847e-06 t=176129
bu shuo ni 	不說呢	c=1 d=1 t=168275
bu si yao 	不死藥	c=1 d=1 t=111167
bu song 	不送	c=1 d=1 t=118286
bu song guo qu 	不送過去	c=1 d=3.16034e-08 t=176129
bu suan 	不算	c=20 d=2.31884 t=170288
bu suan 	不酸	c=1 d=1 t=40225
bu suan shi 	不算是	c=1 d=1 t=92776
bu ta shi 	不踏實	c=3 d=1 t=134535
bu tai 	不太	c=28 d=0.1 t=172506
bu tai e 	不太餓	c=1 d=1 t=107100
bu tai gou 	不太夠	c=1 d=1 t=131343
bu tai hao 	不太好	c=4 d=1 t=122352
bu tai nan 	不太難	c=1 d=1 t=108277
bu tai shu 	不太熟	c=1 d=1 t=172507
bu tai xiang 	不太像	c=2 d=1 t=120569
bu tai xing 	不太行	c=28 d=1.00003 t=174885
bu tai zhi 	不太值	c=1 d=1 t=34874
bu tao hao 	不討好	c=1 d=1 t=13156
bu teng 	不疼	c=3 d=1 t=171878
bu ti qian 	不提前	c=2 d=1 t=121899
bu ti xian 	不提現	c=1 d=1 t=113728
bu tian 	不甜	c=1 d=0.1 t=126187
bu tiao xiu 	不調休	c=1 d=1 t=101463
bu tie 	補貼	c=17 d=1 t=134442
bu ting 	不聽	c=3 d=1 t=135833
bu ting hua 	不聽話	c=1 d=1 t=145018
bu tong 	不同	c=7 d=1 t=132096
bu tong 	不通	c=10 d=1 t=131965
bu tong bu 	不同步	c=1 d=1 t=34420
bu tong bu yang 	不痛不癢	c=1 d=1 t=116965
bu tong guo 	不通過	c=1 d=1 t=49601
bu tong ji 	不通濟	c=1 d=1 t=165518
bu tong lei xing 	不同類型	c=1 d=1 t=67252
bu tong ye mian 	不同頁面	c=1 d=1 t=115425
bu tong yi 	不同意	c=1 d=1 t=92136
bu tu chu lai 	不突出來	c=1 d=1 t=23771
bu tuan jie 	不團結	c=1 d=1 t=142772
bu tui 	不退	c=3 d=1 t=86101
bu tui jian 	不推薦	c=1 d=1 t=57914
bu tuo 	不脫	c=1 d=1 t=41662
bu tuo qian 	不拖欠	c=1 d=1 t=80881
bu wan 	不完	c=3 d=0.1 t=175202
bu wan 	不晚	c=2 d=1 t=128643
bu wan 	不玩	c=2 d=1 t=161813
bu wan 	補完	c=1 d=1 t=62969
bu wan cheng 	不完成	c=1 d=1 t=166280
bu wan mei 	不完美	c=1 d=1 t=111300
bu wei sha 	不爲啥	c=1 d=1 t=37258
bu wei yi 	不唯一	c=2 d=1.97045 t=162013
bu wen 	不問	c=3 d=1 t=172678
bu xi ban 	補習班	c=1 d=1 t=6821
bu xi guan 	不習慣	c=3 d=1.58871e-05 t=176129
bu xi huan 	不喜歡	c=2 d=1 t=27890
bu xia 	不下	c=3 d=1 t=158601
bu xia ci 	不下次	c=1 d=1 t=64626
bu xia lai 	不下來	c=0 d=0.1 t=70244
bu xia qu 	不下去	c=4 d=1.01661 t=164947
bu xia yu 	不下雨	c=1 d=1 t=15870
bu xian 	不限	c=2 d=1.34473 t=9791
bu xian liang 	不限量	c=3 d=1.07769 t=17112
bu xian shi 	不現實	c=1 d=1 t=12543
bu xian shi 	不顯示	c=8 d=0.00250482 t=176129
bu xiang 	不像	c=15 d=0.135335 t=176129
bu xiang 	不想	c=177 d=0.937067 t=176129
bu xiang 	不香	c=3 d=1 t=93585
bu xiang chi 	不想喫	c=2 d=2.95331e-05 t=176129
bu xiang gai 	不想改	c=1 d=1 t=26025
bu xiang gan 	不想幹	c=1 d=1 t=124753
bu xiang gan 	不相干	c=1 d=1 t=63558
bu xiang gan huo er 	不想幹活兒	c=1 d=1 t=104456
bu xiang gao 	不想搞	c=1 d=1 t=30257
bu xiang he 	不想和	c=1 d=1 t=90078
bu xiang he 	不想喝	c=2 d=1.92774 t=115247
bu xiang ni 	不像你	c=1 d=0.000117979 t=176129
bu xiang qu 	不想去	c=2 d=1 t=26671
bu xiang wo 	不像我	c=4 d=1 t=172549
bu xiang xie 	不想寫	c=1 d=1 t=50363
bu xiang xin 	不相信	c=3 d=1 t=113107
bu xiang yong 	不想用	c=1 d=1 t=107800
bu xiang zhe 	不想着	c=1 d=1 t=34912
bu xiao 	不小	c=2 d=1 t=146503
bu xie 	不寫	c=8 d=1 t=172410
bu xin 	不信	c=6 d=2.13869 t=123297
bu xin ku 	不辛苦	c=2 d=1 t=153013
bu xin teng 	不心疼	c=2 d=1.9802 t=96811
bu xin xian 	不新鮮	c=1 d=1 t=101535
bu xing 	不行	c=189 d=0.212539 t=176129
bu xing ba 	不行吧	c=1 d=1 t=111490
bu xing le 	不行了	c=1 d=1 t=68755
bu xing ma 	不行嗎	c=1 d=1 t=24749
bu xiu xi 	不休息	c=2 d=1 t=127751
bu xu yao 	不需要	c=19 d=1 t=174313
bu xuan 	不選	c=3 d=1 t=164794
bu xue 	補血	c=1 d=1 t=166717
bu ya 	不呀	c=1 d=1 t=126656
bu ya 	不雅	c=4 d=1 t=112031
bu yan 	不嚴	c=2 d=1 t=68827
bu yan jiu 	不研究	c=1 d=1 t=25389
bu yan zhong 	不嚴重	c=1 d=0.1 t=116611
bu yan zhong bu yan zhong 	不嚴重不嚴重	c=1 d=1 t=116612
bu yao 	不要	c=60 d=0.167657 t=176129
bu yao 	補藥	c=1 d=1.48181e-09 t=176129
bu yao bu yao 	不要不要	c=1 d=1 t=95268
bu yao pa 	不要怕	c=2 d=1 t=31658
bu yao wo 	不要我	c=1 d=1 t=45454
bu yao yong 	不要用	c=1 d=1 t=163165
bu ye 	不也	c=6 d=1 t=149841
bu ye jiu 	不也就	c=1 d=0.0824965 t=176129
bu ye shi 	不也是	c=5 d=1 t=146233
bu ye yao 	不也要	c=2 d=5.60184e-07 t=176129
bu yi 	不宜	c=1 d=1 t=115627
